NURSCO,NURNAME,SAMPLE,entry,CLASS,NAMET,pedigree,LOCATION,loccode,year1,year0,mmbran,mmflour,mmmids,microsd,FSDS,FSR_C,FSR_L,FSR_W,FSR_S,LDOPA,TWT,SKHRD,SKHRDSD,SKWT,SKWTSD,SKSIZE,SKSIZESD,FPROT,FASH,FYELD,MSCOR,BKFYELD,CODI,CAVOL
92,SOFT ELITE,39,21,SWW,DH08X028-207-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.94,3.54,12.8,,8.1,,,55.8,,,58.2,34.7,15.6,34.9,8.3,2.6,0.3,9.1,0.35,68,85.4,43.2,9.27,1250
94,CARA/XERPHA DOUBLE H,77,21,SWW,DH08X028-207-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.94,3.54,12.8,,8.1,67.4,95.4,54.7,94.9,1.985,55.4,24.1,14.9,33.9,7.8,2.6,0.3,9.4,0.38,68.2,83.8,43.5,8.89,
106,SOFT ELITE,10,18,CLUB,DH08X028-215INV,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.63,2.82,13.4,2.2,11.3,65.9,99.2,59.1,94.9,0.76,63.9,33.79,16,33.5,8.98,2.62,0.37,10.7,0.33,67.1,85.5,43.6,9.19,
106,SOFT ELITE,11,19,CLUB,DH08X028-219INV,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,4.86,2.6,13.6,1.9,8.7,62.9,84,56.8,87.4,0.778,62.3,39.04,15,36.9,10.2,2.64,0.38,9.7,0.3,69.9,91,44.5,9.59,
95,SOFT ELITE,9,9,CLUB,DH08X028-219INV,CARA/XERPHA,PENDLETON,ADV,2018,2017,3.36,3.54,11.1,1,5.8,78.8,88.2,48.8,97.2,1.183,61.5,43.81,15.4,36.2,8.7,2.71,0.36,7.4,0.38,71.7,88.2,49.6,9.52,1120
106,SOFT ELITE,12,20,CLUB,DH08X028-224INV,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.25,2.91,13,1,6.1,63.7,66.6,56.9,87,0.668,62,38.28,16.5,37.2,8.76,2.73,0.35,7.4,0.38,67.4,82.7,43.1,9.68,
106,SOFT ELITE,13,21,CLUB,DH08X028-23-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.25,2.9,12.8,2.6,10.5,67.1,112.7,60.2,92.1,0.959,62.7,40.84,15.5,31.7,8.07,2.52,0.26,9.2,0.28,67.4,89.1,45.9,9.32,
106,SOFT ELITE,14,22,CLUB,DH08X028-231INV,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.1,2.32,12.5,0.5,5.3,64.5,68.9,59.2,89.1,0.716,61.1,49.95,15.8,32.2,8.92,2.56,0.35,9.4,0.29,66.9,87.8,42.3,9.36,
106,SOFT ELITE,15,23,CLUB,DH08X028-24-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,4.74,2.94,12.7,1.9,7.6,72.3,93,60.2,94.5,0.78,61.5,30.47,16.9,38.7,9.55,2.72,0.34,7.7,0.34,68.9,87.2,43.9,9.5,
92,SOFT ELITE,34,22,CLUB,DH08X028-26-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.81,3.55,12.3,,7,,,52.8,,,58.2,35,18.4,26.5,7.8,2.3,0.3,11.8,0.37,70.9,87.8,47.3,9.51,1200
94,CARA/XERPHA DOUBLE H,11,22,CLUB,DH08X028-26-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.81,3.55,12.3,,7.6,60.9,70.2,51,82.6,1.486,58.2,34.1,18.2,27.4,7.1,2.4,0.3,12,0.42,72.3,86.4,49.2,9.4,
104,SOFT ELITE,10,32,CLUB,DH08X028-26-0,CARA/XERPHA,PENDLETON,ADV,2017,2016,4.47,2.99,12.8,1,7,63.7,71.8,53.2,83.6,0.93,60.1,24.09,15.2,35.2,9.27,2.64,0.34,7.3,0.38,71.6,88.1,47.3,9.8,
92,SOFT ELITE,50,23,SWW,DH08X028-28-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.93,3.17,13.8,,9.9,,,55.3,,,60.8,43.2,15.4,30.3,7.1,2.5,0.3,9.6,0.39,68.2,83.1,41.7,9.27,1155
94,CARA/XERPHA DOUBLE H,12,23,SWW,DH08X028-28-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.93,3.17,13.8,,9.6,63.3,107.3,54,91.4,1.427,60.8,42.9,17,32,7.6,2.5,0.3,9.7,0.31,70.2,90.8,43.4,9.13,
106,SOFT ELITE,16,24,CLUB,DH08X028-3-0,CARA/XERPHA,WALLA.WALLA,ADV,2017,2016,5.2,3.05,13.4,0.6,4.1,61.9,64.5,55.9,85.8,0.795,63.7,40.54,15.2,32.2,9.02,2.57,0.31,9.2,0.29,67.7,88.9,43.7,9.51,
95,SOFT ELITE,10,10,CLUB,DH08X028-3-0,CARA/XERPHA,PENDLETON,ADV,2018,2017,3.91,2.88,11.2,0.4,2.6,75.7,68.3,47,94.7,0.981,64.3,50.28,16.6,30.4,7.71,2.51,0.34,9.6,0.36,70.2,87.6,49,9.54,1190
92,SOFT ELITE,43,24,CLUB,DH08X028-39-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,5.54,3.6,14,,9,,,53,,,62,39.9,17.5,28,7,2.4,0.3,11.1,0.39,68.4,83.4,43.9,9.44,1270
94,CARA/XERPHA DOUBLE H,15,24,CLUB,DH08X028-39-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,5.54,3.6,14,,6.4,65.2,95.8,52.9,89.3,1.228,62.1,38.3,16.2,28,6.8,2.4,0.3,11,0.32,70,89.9,45.9,9.31,
104,SOFT ELITE,18,40,CLUB,DH08X028-39-0,CARA/XERPHA,PENDLETON,ADV,2017,2016,5.53,2.38,13,2,7.6,68.7,94.9,54.4,94.8,1.127,61.9,32.93,15.1,33.8,8.94,2.54,0.32,8.7,0.32,64.1,82.4,39.6,9.49,
92,SOFT ELITE,17,25,CLUB,DH08X028-40-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,5.37,3.36,11.4,,7.9,,,53.4,,,56.3,36.6,19.8,22.1,6.3,2.2,0.3,12.2,0.39,69.9,85.3,48,9.4,1240
94,CARA/XERPHA DOUBLE H,96,25,CLUB,DH08X028-40-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,5.37,3.36,11.4,,7.9,62.1,74.8,49.1,89.4,1.495,56.4,31,20.2,25.6,8.3,2.3,0.3,12.4,0.38,71.2,87.6,49.4,9.45,
104,SOFT ELITE,19,41,CLUB,DH08X028-40-0,CARA/XERPHA,PENDLETON,ADV,2017,2016,4.36,3.02,12.3,1,6.1,62.7,75.1,51.6,84.8,1.048,60.1,22.64,15.2,33,9.68,2.54,0.35,7.1,0.37,70.8,87.7,47.5,9.82,
95,SOFT ELITE,11,11,CLUB,DH08X028-40-0,CARA/XERPHA,PENDLETON,ADV,2018,2017,3.25,3.87,10.5,1.5,5.5,74.5,91.4,47,98.3,1.27,62.4,43.78,15.7,31.4,8.67,2.48,0.34,9,0.34,72.2,91.4,51.3,9.61,1170
92,SOFT ELITE,47,26,SWW,DH08X028-41-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,5.26,3.49,14.3,,10.5,,,53.2,,,60.2,34.3,17.5,30.5,8.2,2.5,0.3,10.3,0.38,68.4,84,42.5,9.13,1300
94,CARA/XERPHA DOUBLE H,16,26,SWW,DH08X028-41-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,5.26,3.49,14.3,,9.3,64.5,105.2,52.7,92.2,1.35,60.2,35.2,16.3,30.7,8.4,2.5,0.3,10.4,0.3,69.8,90.9,44.7,9.39,
92,SOFT ELITE,13,28,CLUB,DH08X028-54-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,5.42,3.3,14.2,,6.1,,,53.4,,,61,45.2,16.6,28.1,6.4,2.5,0.3,10.7,0.32,69.7,89.5,43.1,9.31,1125
94,CARA/XERPHA DOUBLE H,22,28,CLUB,DH08X028-54-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,5.42,3.3,14.2,,6.7,64.2,69.6,51.8,87.6,1.189,60.8,47,15.1,27.9,6.7,2.5,0.3,11.2,0.33,71.4,91,45.1,9.54,
92,SOFT ELITE,51,29,CLUB,DH08X028-58-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.84,3.67,12.7,,10.2,,,53.2,,,59.7,33.9,17.6,28.5,8,2.4,0.3,12.4,0.32,67.5,86.7,42.6,8.99,1205
94,CARA/XERPHA DOUBLE H,24,29,CLUB,DH08X028-58-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.84,3.67,12.7,,6.1,63.6,68.4,53.4,85.7,1.326,61.3,40.8,17,30.3,8.3,2.5,0.3,11.1,0.33,71.7,91.4,44.9,9.38,
104,SOFT ELITE,20,42,CLUB,DH08X028-58-0,CARA/XERPHA,PENDLETON,ADV,2017,2016,4.81,2.75,12.4,0.6,5.8,65.6,71.6,54.8,89.1,0.771,60.8,33.92,15.3,34.8,10.1,2.61,0.31,7.4,0.35,68.1,85.5,42.6,9.6,
92,SOFT ELITE,42,30,SWW,DH08X028-64-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.75,3.49,12.1,,7,,,51.2,,,60,30.6,16,32.2,9.2,2.6,0.4,10.5,0.35,70,88,43.9,9.26,1020
94,CARA/XERPHA DOUBLE H,26,30,SWW,DH08X028-64-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.75,3.49,12.1,,6.4,60.8,69.3,50.6,85.2,1.594,59.9,30.2,15.7,32.1,9,2.6,0.4,10.6,0.35,71.8,90.3,45.9,9.44,
92,SOFT ELITE,14,31,SWW,DH08X028-94-0,CARA/XERPHA,FARMINGTON,PUL,2016,2015,4.91,3.7,13.9,,4.4,,,51.8,,,61.1,39.7,18.5,34,9.2,2.6,0.3,9.4,0.27,68.8,91.5,44.2,9.06,1175
94,CARA/XERPHA DOUBLE H,109,31,SWW,DH08X028-94-0,CARA/XERPHA,WALLA WALLA,PUL,2016,2015,4.91,3.7,13.9,,4.4,71.4,63.6,50.9,82.2,1.582,60.8,40.5,17.7,36.3,10,2.7,0.3,9.8,0.29,70.3,92.2,44.4,9.32,
92,SOFT ELITE,12,32,SWW,DH08X102-35-1,ARS970168-2C/ID-9222407A,FARMINGTON,PUL,2016,2015,5.59,4.07,11.4,,7,,,52.5,,,59.3,27,18.5,23.7,7.4,2.3,0.3,9.4,0.38,70.2,86.3,49.8,9.4,1325
105,SOFT ELITE,1,26,CLUB,DH08X102-36-1,ARS970168-2C/ID-9222407A,PULLMAN,ADV,2017,2016,5.03,3.51,12,0.6,5.8,69.1,81.8,56.5,90.3,0.785,61.1,-1.2,17.7,35.7,8.7,2.8,0.3,5.9,0.32,70.8,90.9,51.2,9.99,
92,SOFT ELITE,11,33,SWW,DH08X102-46-1,ARS970168-2C/ID-9222407A,FARMINGTON,PUL,2016,2015,5.16,3.63,12.2,,7.6,,,52.2,,,59.8,18.7,20,28.1,7.2,2.5,0.3,8.4,0.37,68.8,85.2,47.5,9.54,1325
105,SOFT ELITE,7,49,CLUB,DH08X117-30-1,,PULLMAN,ADV,2017,2016,5.37,2.71,12.5,0.8,6.7,70.5,93.5,56.4,91.7,0.373,62.6,13,14.6,37,7.6,2.8,0.3,6.8,0.34,66,83.5,44.8,9.56,
95,SOFT ELITE,14,14,CLUB,DH08X117-30-1,,PENDLETON,ADV,2018,2017,4.13,4.04,11.6,1,5.5,81.9,99,49.6,97.3,0.616,65.1,45.96,18,32.9,9.83,2.68,0.38,8,0.33,69.5,88.6,49.6,9.35,1230
105,SOFT ELITE,3,28,CLUB,DH08X117-42-1,ID-9222407A/ARS970168-2C,PULLMAN,ADV,2017,2016,5.25,2.68,12.5,1.4,8.1,68.8,92.8,56.3,88.5,0.691,62.6,13.4,15.8,37.2,8.4,2.8,0.3,8.6,0.33,66.9,85.3,45.8,9.69,
95,SOFT ELITE,15,15,CLUB,DH08X117-42-1,ID-9222407A/ARS970168-2C,PENDLETON,ADV,2018,2017,3.57,5.05,10.4,2,7.6,80.7,118.6,47.7,108.2,1.246,65.7,34.77,16.3,34.5,9.26,2.73,0.36,9.8,0.3,70.8,92.2,52.2,9.41,1250
105,SOFT ELITE,4,29,CLUB,DH08X117-47-1,,PULLMAN,ADV,2017,2016,5.01,2.84,12.6,1.3,7,71.4,86.5,56.3,92,0.955,61.2,10.8,16.3,37.5,8.1,2.8,0.3,6.7,0.33,69.2,88.2,47.5,9.55,
92,SOFT ELITE,29,54,SWW,JASPER,J950081-0001/Brundage 96 - 2,FARMINGTON,PUL,2016,2015,5.84,4.25,12.2,,10.5,,,54,,,59.1,6.4,19.9,37.8,11.8,2.7,0.4,9.3,0.45,69,80.3,46,9.18,1305
104,SOFT ELITE,26,50,SWW,JASPER,J950081-0001/Brundage 96 - 2,PENDLETON,ADV,2017,2016,4.59,3.33,11.9,1,9.3,68.9,104.1,55,94,0.709,60.9,5.214,12.8,44.7,9.52,2.87,0.36,7.1,0.47,69.3,79.4,46.5,9.71,
107,2ND.CHANCE.PRELIMINA,15,50,SWW,JASPER,J950081-0001/Brundage 96 - 2,PENDLETON,ADV,2017,2016,4.59,3.33,11.9,1,9.6,68.4,95.4,54.5,90.6,0.613,61,7.371,13.9,44.9,10,2.89,0.41,6.9,0.4,71,86.1,47.8,9.76,
108,2ND.CHANCE.PRELIMINA,12,50,SWW,JASPER,J950081-0001/Brundage 96 - 2,PULLMAN,ADV,2017,2016,4.59,3.33,11.9,1,7,65.1,80.4,55.4,86,0.643,61.7,1.1,18.2,48.6,12.5,3.1,0.4,8.4,0.37,71.5,88.6,46.2,9.89,
95,SOFT ELITE,60,68,SWW,JASPER,J950081-0001/Brundage 96 - 2,PENDLETON,ADV,2018,2017,3.45,3.46,10.2,1.6,8.1,58.5,80.8,46.1,94.6,1.044,62.7,15.82,14.6,44.5,10.6,2.87,0.42,8.6,0.38,70.1,86.2,49.6,9.39,1275
111,SOFT ELITE,65,67,SWW,JASPER,J950081-0001/Brundage 96 - 2,PENDLETON,ADV,2019,2018,4.03,6.04,9.67,-9,10.2,,,52.8,,1.212,62.4,7.168,14.6,44.5,12.9,2.75,0.42,8.2,0.4,72.3,87.7,53.6,9.11,1235
112,UNREPLICATED,38,71,SWW,JASPER,J950081-0001/Brundage 96 - 2,PULLMAN,ADV,2019,2018,3.5,4.92,8.86,-9,11.6,,,51.4,,0.91,63.1,5.972,14.5,43.6,10.6,2.76,0.37,8.9,0.38,71.8,88.3,54.6,9.3,
112,UNREPLICATED,38,69,SWW,JASPER,J950081-0001/Brundage 96 - 2,PULLMAN,ADV,2019,2018,4.56,6.36,9.73,-9,11.6,,,51.4,,0.91,63.1,5.972,14.5,43.6,10.6,2.76,0.37,8.9,0.38,71.8,88.3,54.6,9.3,
112,UNREPLICATED,38,65,SWW,JASPER,J950081-0001/Brundage 96 - 2,PULLMAN,ADV,2019,2018,4.12,5.67,10.6,-9,11.6,,,51.4,,0.91,63.1,5.972,14.5,43.6,10.6,2.76,0.37,8.9,0.38,71.8,88.3,54.6,9.3,
111,SOFT ELITE,60,60,SWW,LCS-HULK,,PENDLETON,ADV,2019,2018,4.76,6.01,11.9,-9,11.9,,,54.7,,1.223,62.9,20.58,12,41,9.39,2.77,0.36,8.3,0.46,71.2,82.5,49.6,8.8,1215
111,SOFT ELITE,61,61,SWW,NW-DUET,,PENDLETON,ADV,2019,2018,4.29,6.44,12.6,-9,7.3,,,55.5,,0.899,63.8,35.83,18.1,43.1,10.8,2.79,0.37,9.1,0.41,69.7,83.8,50.1,8.82,1200
92,SOFT ELITE,49,34,SWW,OTTO,Eltan//Madsen/Eltan///Eltan,FARMINGTON,PUL,2016,2015,5.93,3.82,11.7,,13.1,,,54.6,,,59.9,22.1,18.7,31.8,9.3,2.5,0.4,8.8,0.33,67.6,86.2,45.8,9.3,1325
111,SOFT ELITE,62,62,SWW,OTTO,Eltan//Madsen/Eltan///Eltan,PENDLETON,ADV,2019,2018,3.97,5.83,11,-9,10.2,,,54.9,,0.637,62.2,23.23,15.8,35.8,9.28,2.54,0.36,8.1,0.41,69.6,83.6,52,8.74,1255
92,SOFT ELITE,5,6,CLUB,PRITCHETT,3J030235-1//Bruehl -1 -4,FARMINGTON,PUL,2016,2015,5.18,3.9,12.3,,4.7,,,51.2,,,59.8,22.3,16.3,32.5,7.8,2.5,0.3,9.3,0.4,70.6,85.5,46.5,9.65,1350
104,SOFT ELITE,27,51,CLUB,PRITCHETT,3J030235-1//Bruehl -1 -4,PENDLETON,ADV,2017,2016,4.7,3.13,13,0.6,4.7,64.5,63,51.3,88.1,0.832,60.6,19.49,13.1,36.5,9.7,2.59,0.34,7.5,0.37,70.3,87.1,45.4,9.79,
105,SOFT ELITE,10,51,CLUB,PRITCHETT,3J030235-1//Bruehl -1 -4,PULLMAN,ADV,2017,2016,4.7,3.13,13,0.6,4.7,64.2,67.6,58.3,86.3,0.698,61,11.6,15.2,40.4,10.9,2.7,0.4,7.5,0.36,69.1,86.2,44.4,9.79,
107,2ND.CHANCE.PRELIMINA,16,51,CLUB,PRITCHETT,3J030235-1//Bruehl -1 -4,PENDLETON,ADV,2017,2016,4.7,3.13,13,0.6,5.8,63.5,65.6,53.1,83.1,0.754,59.8,19.49,13.5,37,8.37,2.63,0.34,6.2,0.4,71.2,86.3,46.3,9.92,
95,SOFT ELITE,61,74,CLUB,PRITCHETT,3J030235-1//Bruehl -1 -4,PENDLETON,ADV,2018,2017,4.19,3.7,12.2,0.2,4.1,57.1,60.8,48,95.8,0.976,61.7,30.63,13.4,35.9,8.4,2.59,0.34,7.5,0.36,70.6,88.1,49.5,9.45,1250
97,RHT1 UNREPLICATED,116,74,CLUB,PRITCHETT,3J030235-1//Bruehl -1 -4,PULLMAN,ADV,2018,2017,3.39,4.99,12.3,0.5,5,61.3,83.6,48.1,98.2,0.889,61.6,21.51,17,32.5,10.4,2.46,0.4,8.3,0.47,75.4,87.2,54.3,9.54,
98,RHT2 UNREPLICATED,26,74,CLUB,PRITCHETT,3J030235-1//Bruehl -1 -4,PULLMAN,ADV,2018,2017,3.65,3.87,10.7,0.4,5,62.2,84.1,50.8,71.1,1.028,58.6,17.21,14.9,32.1,9.18,2.42,0.32,10.4,0.43,69.1,81.7,49.8,9.44,
98,RHT2 UNREPLICATED,26,74,CLUB,PRITCHETT,3J030235-1//Bruehl -1 -4,PULLMAN,ADV,2018,2017,3.13,6.64,9.29,0.5,5,62.2,84.1,50.8,71.1,1.028,58.6,17.21,14.9,32.1,9.18,2.42,0.32,10.4,0.43,69.1,81.7,49.8,9.44,
98,RHT2 UNREPLICATED,26,74,CLUB,PRITCHETT,3J030235-1//Bruehl -1 -4,PULLMAN,ADV,2018,2017,4.18,3.25,12.3,0.5,5,62.2,84.1,50.8,71.1,1.028,58.6,17.21,14.9,32.1,9.18,2.42,0.32,10.4,0.43,69.1,81.7,49.8,9.44,
95,CLUB WHEAT SAMPLES T,2,66,CLUB,PRITCHETT,3J030235-1//Bruehl -1 -4,PULLMAN,ADV,2019,2018,3.52,6.33,10.9,-9,5,65.1,70.7,53.3,71.6,,62.3,25.43,13,38.3,8.19,2.64,0.34,8.7,0.43,70.2,83.1,51.1,9.55,1250
112,UNREPLICATED,37,68,CLUB,PRITCHETT,3J030235-1//Bruehl -1 -4,PULLMAN,ADV,2019,2018,3.89,6.27,11.6,-9,5,,,51.4,,1.003,62,24.36,16.6,37.3,10.8,2.55,0.38,7.9,0.39,70.7,86.3,53.1,9.52,
112,UNREPLICATED,37,72,CLUB,PRITCHETT,3J030235-1//Bruehl -1 -4,PULLMAN,ADV,2019,2018,3.99,5.91,11.8,-9,5,,,51.4,,1.003,62,24.36,16.6,37.3,10.8,2.55,0.38,7.9,0.39,70.7,86.3,53.1,9.52,
111,SOFT ELITE,63,63,SWW,ROSALYN,NSL 99-4160/Tubbs,PENDLETON,ADV,2019,2018,3.93,6.24,11.5,-9,7.3,,,54.2,,1.745,62.2,20.41,14.5,43.3,10.8,2.81,0.41,7.6,0.49,69.5,78.4,50.2,8.98,1250
112,UNREPLICATED,39,63,SWW,ROSALYN,NSL 99-4160/Tubbs,PULLMAN,ADV,2019,2018,3.93,6.24,11.5,-9,8.7,,,55.2,,1.273,61.7,22.92,12.9,42.6,8.84,2.85,0.37,8.3,0.4,68.7,83.1,50.2,8.96,
111,SOFT ELITE,1,1,SWW,STEPHENS,"Nord Desprez/Pullman Sel. 101, CItr13438",PENDLETON,ADV,2019,2018,3.82,5.5,11.9,-9,8.1,,,54.4,,0.712,62.2,17.37,17.8,47.9,11.9,2.93,0.43,7.9,0.38,69.5,85.4,48.9,9.2,1245
112,UNREPLICATED,40,1,SWW,STEPHENS,"Nord Desprez/Pullman Sel. 101, CItr13438",PULLMAN,ADV,2019,2018,3.82,5.5,11.9,-9,10.5,,,55.1,,0.584,60.7,27.51,15.8,41,12.2,2.75,0.42,9.8,0.4,69.7,84.4,48.7,8.99,
111,SOFT ELITE,64,64,SWW,SY-COMMAND,,PENDLETON,ADV,2019,2018,3.51,6.8,11.4,-9,7.6,,,54.3,,1.89,60.8,22.66,17,40,9.16,2.67,0.41,7.4,0.38,69.7,85.7,51.1,9.02,1195
92,SOFT ELITE,45,37,CLUB,X040335-9-1,,FARMINGTON,PUL,2016,2015,5.49,3.98,13.2,,5.8,,,53.2,,,59.6,21.5,19.3,29.4,8.4,2.4,0.3,10.1,0.34,72.2,91.4,48.5,9.76,1320
92,SOFT ELITE,48,38,CLUB,X050227-0-0-3,,FARMINGTON,PUL,2016,2015,5.65,4.09,13.8,,6.7,,,51.2,,,61.3,23.2,17.1,31.7,8.6,2.6,0.3,9.8,0.34,69.6,88.1,45.3,9.64,1275
92,SOFT ELITE,40,39,CLUB,X060192-0-7C,Coda/P98134B3-1-4-6(BYDV2))//2*Coda///TA3516/4/Coda,FARMINGTON,PUL,2016,2015,5.99,4.15,12.6,,7.3,,,51.7,,,62.4,33.1,14.2,29.6,7.7,2.6,0.3,11.4,0.36,68.2,85,46.1,9.25,1280
92,SOFT ELITE,1,40,CLUB,X06130-38C,NY89066-7131/GA 931233-E17//CHUKAR,FARMINGTON,PUL,2016,2015,4.98,3.96,12.8,,6.4,,,52.2,,,61,34,16.7,29.9,8.3,2.6,0.3,9.2,0.32,69,88.6,45,9.29,1265
92,SOFT ELITE,38,42,CLUB,X06134-57C,NY89066-7131/M99*3098//CHUKAR,FARMINGTON,PUL,2016,2015,5.22,3.58,11.7,,10.5,,,52.9,,,57.8,24.6,19.4,23.5,6.9,2.3,0.3,11.2,0.35,70.2,88.2,48.4,9.44,1275
104,SOFT ELITE,22,44,CLUB,X06134-57C,NY89066-7131/M99*3098//CHUKAR,PENDLETON,ADV,2017,2016,5.04,2.7,12.1,1.4,7.9,61.6,88,50.6,84.2,0.877,61.5,16.26,12.8,32.2,7.78,2.58,0.28,6.9,0.34,69.4,87.8,48.3,9.91,
92,SOFT ELITE,26,43,CLUB,X06135-9C,NY89066-7131/NC00-15332//CHUKAR,FARMINGTON,PUL,2016,2015,5.39,3.47,14.1,,6.1,,,49.2,,,61.7,38.2,17.5,28.3,6.9,2.5,0.3,10.8,0.34,69.5,88,44,9.57,1200
92,SOFT ELITE,2,44,CLUB,X06136-49C,NY89066-7131/NC00-15332//CHUKAR,FARMINGTON,PUL,2016,2015,4.95,4.05,12.8,,4.7,,,53.8,,,61.2,27.2,15.4,29.9,7.2,2.6,0.3,9,0.32,69.2,88.9,46.2,9.66,1275
104,SOFT ELITE,23,45,CLUB,X06136-49C,NY89066-7131/NC00-15332//CHUKAR,PENDLETON,ADV,2017,2016,5.09,2.7,13.3,0.5,4.4,64.6,64.6,52.9,85.3,0.782,61.3,24.93,13.2,32.7,7.7,2.64,0.33,6.5,0.35,68.5,86.1,46.1,9.85,
92,SOFT ELITE,18,46,SWW,X070048-0-0-5L,ARS960277L/MSU Line E1007-W,FARMINGTON,PUL,2016,2015,4.9,3.66,12,,9,,,55.9,,,57.7,17.3,18.8,32,9.9,2.5,0.4,9.5,0.4,70.4,85.3,46.3,8.91,1270
92,SOFT ELITE,19,48,CLUB,X20060121-0-47C,NY89066-7131/AW D00*6874//CHUKAR,FARMINGTON,PUL,2016,2015,5.12,3.66,12.6,,6.7,,,52.5,,,60.6,30,15.8,31,6.3,2.6,0.3,10.2,0.3,68,88.6,44.8,9.55,1265
93,2ND CHANCE PRELIMINA,32,48,CLUB,X20060121-0-47C,NY89066-7131/AW D00*6874//CHUKAR,PULLMAN,PUL,2016,2015,5.12,3.66,12.6,,7.6,65.2,78.8,53.8,86,1.096,60.3,28,14.7,30.4,7.1,2.6,0.3,10.5,0.3,69.8,90.9,45.5,9.47,
105,SOFT ELITE,6,48,CLUB,X20060124-0-16C,NY89066-7131/B980696//CHUKAR,PULLMAN,ADV,2017,2016,5.32,2.72,13.3,0.6,5.3,68.7,74.9,59.1,90.2,0.763,61.9,24.8,15.3,38.3,9.8,2.7,0.4,6.5,0.31,68,88,45.9,9.61,
92,SOFT ELITE,20,50,CLUB,X20060124-0-21C,NY89066-7131/B980696//CHUKAR,FARMINGTON,PUL,2016,2015,5.5,4.1,12.6,,9.3,,,54.9,,,60.6,29.2,18.1,27.2,6.9,2.4,0.3,9.9,0.39,71.4,87.2,46.9,9.5,1250
104,SOFT ELITE,24,46,CLUB,X20060124-0-21C,NY89066-7131/B980696//CHUKAR,PENDLETON,ADV,2017,2016,5.17,2.74,13.5,1.5,8.1,64.7,101.1,52.9,87.8,0.831,62.3,19.45,15.2,34.4,8.31,2.56,0.33,7.5,0.32,69.6,89.4,46.1,9.85,
92,SOFT ELITE,15,52,CLUB,X20060126-0-35C,NY89066-7131/G/F 951208-2E35//CHUKAR,FARMINGTON,PUL,2016,2015,5.48,3.29,12.3,,8.1,,,54.6,,,57.7,31.7,17.9,25.9,7.1,2.4,0.3,11.9,0.38,66.7,81.8,43.8,8.93,1250
92,SOFT ELITE,31,53,SWW,X20060194-0-10L,Coda/P98134B3-1-4-6(BYDV2))//2*Coda///TA3516/4/Coda,FARMINGTON,PUL,2016,2015,4.98,3.93,13.3,,6.1,,,53.6,,,59.4,30.6,15.8,30.8,7.7,2.6,0.3,10.6,0.35,68.8,86.4,45.6,9,1240
